Affective analysis results:

Timeframe,Emotion,Frequency
2016_5_26_4-6,interest,38
2016_5_26_4-6,joy,1818
2016_5_26_4-6,nervous,0
2016_5_26_4-6,rejection,0
2016_5_26_4-6,sadness,108
2016_5_26_4-6,shame,0
2016_5_26_4-6,surprise,0
2016_5_26_6-8,neutral,21127
2016_5_26_6-8,anger,525
2016_5_26_6-8,anxiety,41
2016_5_26_6-8,calm,1
2016_5_26_6-8,disgust,0
2016_5_26_6-8,enthusia,6337
2016_5_26_6-8,fear,0
2016_5_26_6-8,interest,36
2016_5_26_6-8,joy,1915
2016_5_26_6-8,nervous,0
2016_5_26_6-8,rejection,0
2016_5_26_6-8,sadness,47
2016_5_26_6-8,shame,0
2016_5_26_6-8,surprise,0
2016_5_26_8-10,neutral,13094
2016_5_26_8-10,anger,323
2016_5_26_8-10,anxiety,38
2016_5_26_8-10,calm,3
2016_5_26_8-10,disgust,0
2016_5_26_8-10,enthusia,3586
2016_5_26_8-10,fear,0
2016_5_26_8-10,interest,29
2016_5_26_8-10,joy,1183
2016_5_26_8-10,nervous,0
2016_5_26_8-10,rejection,0
2016_5_26_8-10,sadness,29
2016_5_26_8-10,shame,0
2016_5_26_8-10,surprise,0
2016_5_26_10-12,neutral,8887
2016_5_26_10-12,anger,133
2016_5_26_10-12,anxiety,12
2016_5_26_10-12,calm,0
2016_5_26_10-12,disgust,0
2016_5_26_10-12,enthusia,2603
2016_5_26_10-12,fear,0
2016_5_26_10-12,interest,10
2016_5_26_10-12,joy,871
2016_5_26_10-12,nervous,0
2016_5_26_10-12,rejection,0
2016_5_26_10-12,sadness,19
2016_5_26_10-12,shame,0
2016_5_26_10-12,surprise,0
2016_5_26_12-14,neutral,13194
2016_5_26_12-14,anger,156
2016_5_26_12-14,anxiety,58
2016_5_26_12-14,calm,0
2016_5_26_12-14,disgust,0
2016_5_26_12-14,enthusia,4706
2016_5_26_12-14,fear,0
2016_5_26_12-14,interest,19
2016_5_26_12-14,joy,1102
2016_5_26_12-14,nervous,0
2016_5_26_12-14,rejection,0
2016_5_26_12-14,sadness,25
2016_5_26_12-14,shame,0
2016_5_26_12-14,surprise,0
2016_5_26_14-16,neutral,17993
2016_5_26_14-16,anger,375
2016_5_26_14-16,anxiety,65
2016_5_26_14-16,calm,2
2016_5_26_14-16,disgust,0
2016_5_26_14-16,enthusia,4727
2016_5_26_14-16,fear,0
2016_5_26_14-16,interest,37
2016_5_26_14-16,joy,1231
2016_5_26_14-16,nervous,0
2016_5_26_14-16,rejection,0
2016_5_26_14-16,sadness,57
2016_5_26_14-16,shame,0
2016_5_26_14-16,surprise,0
2016_5_26_16-18,neutral,29261
2016_5_26_16-18,anger,691
2016_5_26_16-18,anxiety,118
2016_5_26_16-18,calm,1
2016_5_26_16-18,disgust,0
2016_5_26_16-18,enthusia,9135
2016_5_26_16-18,fear,0
2016_5_26_16-18,interest,32
2016_5_26_16-18,joy,1678
2016_5_26_16-18,nervous,0
2016_5_26_16-18,rejection,0
2016_5_26_16-18,sadness,63
2016_5_26_16-18,shame,0
2016_5_26_16-18,surprise,0
2016_5_26_18-20,neutral,29752
2016_5_26_18-20,anger,659
2016_5_26_18-20,anxiety,85
2016_5_26_18-20,calm,0
2016_5_26_18-20,disgust,0
2016_5_26_18-20,enthusia,10913
2016_5_26_18-20,fear,0
2016_5_26_18-20,interest,46
2016_5_26_18-20,joy,2328
2016_5_26_18-20,nervous,0
2016_5_26_18-20,rejection,0
2016_5_26_18-20,sadness,76
2016_5_26_18-20,shame,0
2016_5_26_18-20,surprise,0
2016_5_26_20-22,neutral,32772
2016_5_26_20-22,anger,808
2016_5_26_20-22,anxiety,113
2016_5_26_20-22,calm,2
2016_5_26_20-22,disgust,0
2016_5_26_20-22,enthusia,10247
2016_5_26_20-22,fear,0
2016_5_26_20-22,interest,61
2016_5_26_20-22,joy,2328
2016_5_26_20-22,nervous,0
2016_5_26_20-22,rejection,0
2016_5_26_20-22,sadness,99
2016_5_26_20-22,shame,0
2016_5_26_20-22,surprise,0
2016_5_26_22-0,neutral,38637
2016_5_26_22-0,anger,671
2016_5_26_22-0,anxiety,102
2016_5_26_22-0,calm,2
2016_5_26_22-0,disgust,0
2016_5_26_22-0,enthusia,8395
2016_5_26_22-0,fear,0
2016_5_26_22-0,interest,170
2016_5_26_22-0,joy,1945
2016_5_26_22-0,nervous,0
2016_5_26_22-0,rejection,0
2016_5_26_22-0,sadness,70
2016_5_26_22-0,shame,0
2016_5_26_22-0,surprise,0
2016_5_27_0-2,neutral,35892
2016_5_27_0-2,anger,756
2016_5_27_0-2,anxiety,98
2016_5_27_0-2,calm,0
2016_5_27_0-2,disgust,0
2016_5_27_0-2,enthusia,8781
2016_5_27_0-2,fear,0
2016_5_27_0-2,interest,139
2016_5_27_0-2,joy,2119
2016_5_27_0-2,nervous,0
2016_5_27_0-2,rejection,0
2016_5_27_0-2,sadness,80
2016_5_27_0-2,shame,0
2016_5_27_0-2,surprise,0
2016_5_27_2-4,neutral,37440
2016_5_27_2-4,anger,691
2016_5_27_2-4,anxiety,95
2016_5_27_2-4,calm,2
2016_5_27_2-4,disgust,0
2016_5_27_2-4,enthusia,8114
2016_5_27_2-4,fear,0
2016_5_27_2-4,interest,135
2016_5_27_2-4,joy,2283
2016_5_27_2-4,nervous,0
2016_5_27_2-4,rejection,0
2016_5_27_2-4,sadness,105
2016_5_27_2-4,shame,0
2016_5_27_2-4,surprise,0
